,algorithm,episode,map,peak_memory_usage(KB),time_usage(S)
0,DFS,0,Map/B6.txt,498.656,21.634805917739868
1,DFS,1,Map/B6.txt,475.836,21.64928102493286
2,DFS,2,Map/B6.txt,469.404,21.621858835220337
3,DFS,3,Map/B6.txt,472.932,21.683202266693115
4,DFS,4,Map/B6.txt,467.796,21.616625785827637
5,DFS,5,Map/B6.txt,467.796,21.616940021514893
6,DFS,6,Map/B6.txt,467.796,21.651332139968872
7,DFS,7,Map/B6.txt,467.796,21.662462949752808
8,DFS,8,Map/B6.txt,467.796,21.651442050933838
9,DFS,9,Map/B6.txt,467.796,21.658787727355957
10,DLS,0,Map/B6.txt,535.446,32.87533497810364
11,DLS,1,Map/B6.txt,528.384,32.93890714645386
12,DLS,2,Map/B6.txt,526.752,32.95805811882019
13,DLS,3,Map/B6.txt,526.208,33.008888244628906
14,DLS,4,Map/B6.txt,526.208,33.082069873809814
15,DLS,5,Map/B6.txt,526.208,32.99899172782898
16,DLS,6,Map/B6.txt,526.208,32.99654674530029
17,DLS,7,Map/B6.txt,526.208,33.026849031448364
18,DLS,8,Map/B6.txt,526.208,32.95825386047363
19,DLS,9,Map/B6.txt,526.208,33.024556159973145
20,GBFS,0,Map/B6.txt,188.154,8.16390085220337
21,GBFS,1,Map/B6.txt,165.775,8.294898748397827
22,GBFS,2,Map/B6.txt,164.215,8.23363709449768
23,GBFS,3,Map/B6.txt,164.215,8.306122064590454
24,GBFS,4,Map/B6.txt,163.687,8.19217300415039
25,GBFS,5,Map/B6.txt,163.687,8.125457048416138
26,GBFS,6,Map/B6.txt,163.687,8.044708013534546
27,GBFS,7,Map/B6.txt,164.119,8.096314191818237
28,GBFS,8,Map/B6.txt,163.687,8.060950994491577
29,GBFS,9,Map/B6.txt,163.687,8.001796245574951
