,algorithm,episode,map,peak_memory_usage(KB),time_usage(S)
0,GBFS,0,Map/w6.txt,182.392,5.310043096542358
1,GBFS,1,Map/w6.txt,150.801,6.532753229141235
2,GBFS,2,Map/w6.txt,137.353,6.6103668212890625
3,GBFS,3,Map/w6.txt,136.289,6.62895393371582
4,GBFS,4,Map/w6.txt,135.209,6.62367582321167
5,GBFS,5,Map/w6.txt,135.209,6.539258718490601
6,GBFS,6,Map/w6.txt,135.209,6.536801099777222
7,GBFS,7,Map/w6.txt,135.209,6.553296327590942
8,GBFS,8,Map/w6.txt,135.209,6.550472974777222
9,GBFS,9,Map/w6.txt,135.353,6.563939094543457
10,DFS,0,Map/w6.txt,155850.844,42741.55988717079
11,DFS,1,Map/w6.txt,155847.684,19670.203382968903
12,DFS,2,Map/w6.txt,155847.62,14302.32619690895
